Wav Time	B5-03972-P01-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P02-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P02-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P03-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P03-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P04-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P04-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	 	B5-03143-P01-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P01-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P02-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P02-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P03-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P03-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P04-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz
0.009992	B5-03972-P01-CH0	5414000	OK	0.3790333	0.1511047	-0.2494705	0.8782173	-12.554	16.033	-138.111	B5-03972-P02-CH0	5414000	OK	0.7109933	0.2442796	0.6594058	0.0000000	-50.987	31.660	26.306	B5-03972-P02-CH1	5414000	OK	0.7910012	-0.2143072	0.5730528	0.0000000	-48.592	38.791	27.412	B5-03972-P03-CH0	5414000	OK	0.5884623	0.6614462	0.4649742	0.0000000	-46.700	44.904	26.017	B5-03972-P03-CH1	5414000	OK	0.5331279	0.5551901	0.6383875	0.0000000	-45.907	53.444	31.804	B5-03972-P04-CH0	5414000	OK	0.7010594	-0.5694474	0.4292382	0.0000000	-55.054	69.359	37.743	B5-03972-P04-CH1	5414000	OK	0.4469509	0.8898595	0.0915691	0.0000000	-41.726	67.363	22.963	 	B5-03143-P01-CH0	5413992	OK	0.7570980	-0.4717878	0.4519057	0.0000000	-50.210	83.367	34.994	B5-03143-P01-CH1	5413992	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5413992	Processing Error	0.5764262	0.7036746	-0.4154213	0.0000000	-463.797	-248.262	1053.420	B5-03143-P02-CH1	5413992	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5413992	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5413992	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5413992	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.019983	B5-03972-P01-CH0	5414008	OK	0.3789908	0.1510781	-0.2494951	0.8782332	-12.549	16.029	-138.095	B5-03972-P02-CH0	5414008	OK	0.7108970	0.2401420	0.6610274	0.0000000	-50.914	31.676	26.277	B5-03972-P02-CH1	5414008	OK	0.7897812	-0.2196870	0.5726983	0.0000000	-48.668	38.831	27.419	B5-03972-P03-CH0	5414008	OK	0.5880294	0.6552075	0.4742621	0.0000000	-46.847	44.895	25.936	B5-03972-P03-CH1	5414008	OK	0.5340037	0.5533055	0.6392910	0.0000000	-45.289	52.934	31.886	B5-03972-P04-CH0	5414008	OK	0.7011566	-0.5695561	0.4289352	0.0000000	-55.100	69.361	37.767	B5-03972-P04-CH1	5414008	OK	0.4466042	0.8906615	0.0852456	0.0000000	-42.450	67.420	22.589	 	B5-03143-P01-CH0	5414000	OK	0.7605126	-0.4759907	0.4416487	0.0000000	-50.620	84.325	35.491	B5-03143-P01-CH1	5414000	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414000	Processing Error	0.5746705	0.7020209	-0.4206192	0.0000000	-485.988	-227.461	1038.892	B5-03143-P02-CH1	5414000	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414000	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414000	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414000	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.029975	B5-03972-P01-CH0	5414016	OK	0.3789321	0.1511176	-0.2494167	0.8782740	-12.549	16.032	-138.091	B5-03972-P02-CH0	5414016	OK	0.7105763	0.2347725	0.6632972	0.0000000	-50.882	31.646	26.272	B5-03972-P02-CH1	5414016	OK	0.7887206	-0.2233730	0.5727341	0.0000000	-48.894	38.942	27.413	B5-03972-P03-CH0	5414016	OK	0.5882494	0.6485125	0.4831089	0.0000000	-46.784	44.745	25.943	B5-03972-P03-CH1	5414016	OK	0.5311666	0.5504901	0.6440672	0.0000000	-44.584	52.923	31.815	B5-03972-P04-CH0	5414016	OK	0.7011338	-0.5698501	0.4285817	0.0000000	-55.180	69.348	37.765	B5-03972-P04-CH1	5414016	OK	0.4473580	0.8908713	0.0788615	0.0000000	-42.309	67.180	22.543	 	B5-03143-P01-CH0	5414008	OK	0.7646967	-0.4791360	0.4308917	0.0000000	-51.142	84.669	35.645	B5-03143-P01-CH1	5414008	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414008	Processing Error	0.5900667	0.6928074	-0.4145348	0.0000000	-473.170	-228.674	1076.468	B5-03143-P02-CH1	5414008	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414008	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414008	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414008	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.039967	B5-03972-P01-CH0	5414024	OK	0.3788764	0.1511727	-0.2493576	0.8783054	-12.551	16.022	-138.084	B5-03972-P02-CH0	5414024	OK	0.7096542	0.2295199	0.6661167	0.0000000	-51.011	31.664	26.293	B5-03972-P02-CH1	5414024	OK	0.7889629	-0.2264010	0.5712094	0.0000000	-48.680	38.829	27.440	B5-03972-P03-CH0	5414024	OK	0.5886969	0.6419598	0.4912469	0.0000000	-46.556	44.678	25.972	B5-03972-P03-CH1	5414024	OK	0.5243537	0.5392623	0.6589760	0.0000000	-45.797	53.582	31.936	B5-03972-P04-CH0	5414024	OK	0.7011297	-0.5701926	0.4281327	0.0000000	-55.267	69.326	37.751	B5-03972-P04-CH1	5414024	OK	0.4483631	0.8907829	0.0740020	0.0000000	-41.903	67.007	22.438	 	B5-03143-P01-CH0	5414016	OK	0.7709345	-0.4797086	0.4189744	0.0000000	-51.572	85.277	35.866	B5-03143-P01-CH1	5414016	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414016	Processing Error	0.5793024	0.7017828	-0.4146199	0.0000000	-541.707	-223.821	1086.899	B5-03143-P02-CH1	5414016	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414016	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414016	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414016	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.049959	B5-03972-P01-CH0	5414032	OK	0.3787768	0.1512010	-0.2493314	0.8783509	-12.545	16.017	-138.069	B5-03972-P02-CH0	5414032	OK	0.7096502	0.2249531	0.6676771	0.0000000	-50.863	31.465	26.277	B5-03972-P02-CH1	5414032	OK	0.7892542	-0.2285497	0.5699499	0.0000000	-48.707	38.821	27.423	B5-03972-P03-CH0	5414032	OK	0.5886070	0.6345807	0.5008484	0.0000000	-46.669	44.548	26.107	B5-03972-P03-CH1	5414032	OK	0.5229255	0.5328411	0.6653039	0.0000000	-46.075	53.677	31.953	B5-03972-P04-CH0	5414032	OK	0.7011766	-0.5704568	0.4277037	0.0000000	-55.353	69.327	37.738	B5-03972-P04-CH1	5414032	OK	0.4490281	0.8908311	0.0692374	0.0000000	-41.673	66.969	22.419	 	B5-03143-P01-CH0	5414024	OK	0.7781612	-0.4818792	0.4028121	0.0000000	-51.338	85.371	36.388	B5-03143-P01-CH1	5414024	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414024	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH1	5414024	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414024	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414024	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414024	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.059950	B5-03972-P01-CH0	5414040	OK	0.3785454	0.1513264	-0.2498605	0.8782787	-12.496	16.032	-137.958	B5-03972-P02-CH0	5414040	OK	0.7088159	0.2224913	0.6693860	0.0000000	-50.732	31.514	26.222	B5-03972-P02-CH1	5414040	OK	0.7893759	-0.2309291	0.5688211	0.0000000	-48.767	38.700	27.397	B5-03972-P03-CH0	5414040	OK	0.5892201	0.6293760	0.5066611	0.0000000	-46.286	44.488	26.018	B5-03972-P03-CH1	5414040	OK	0.5237311	0.5247015	0.6711141	0.0000000	-46.551	53.967	31.815	B5-03972-P04-CH0	5414040	OK	0.7013388	-0.5705676	0.4272897	0.0000000	-55.452	69.394	37.740	B5-03972-P04-CH1	5414040	OK	0.4495743	0.8908757	0.0649889	0.0000000	-41.444	66.944	22.395	 	B5-03143-P01-CH0	5414032	OK	0.7848526	-0.4841516	0.3867862	0.0000000	-52.403	86.307	36.683	B5-03143-P01-CH1	5414032	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414032	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH1	5414032	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414032	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414032	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414032	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.069942	B5-03972-P01-CH0	5414048	OK	0.3785348	0.1517180	-0.2493377	0.8783643	-12.522	16.012	-137.919	B5-03972-P02-CH0	5414048	OK	0.7061721	0.2208527	0.6727147	0.0000000	-51.128	31.886	26.388	B5-03972-P02-CH1	5414048	OK	0.7897088	-0.2331831	0.5674378	0.0000000	-48.885	38.713	27.300	B5-03972-P03-CH0	5414048	OK	0.5880421	0.6204190	0.5189284	0.0000000	-47.201	44.678	26.006	B5-03972-P03-CH1	5414048	OK	0.5395880	0.4934357	0.6821773	0.0000000	-44.860	52.259	31.641	B5-03972-P04-CH0	5414048	OK	0.7010215	-0.5713448	0.4267716	0.0000000	-55.606	69.398	37.652	B5-03972-P04-CH1	5414048	OK	0.4521483	0.8896464	0.0639626	0.0000000	-41.554	66.861	22.010	 	B5-03143-P01-CH0	5414040	OK	0.7889302	-0.4856052	0.3765324	0.0000000	-54.097	87.238	36.450	B5-03143-P01-CH1	5414040	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414040	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH1	5414040	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414040	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414040	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414040	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.079934	B5-03972-P01-CH0	5414056	OK	0.3785577	0.1519570	-0.2487233	0.8784873	-12.527	15.982	-137.929	B5-03972-P02-CH0	5414056	OK	0.7064603	0.2184661	0.6731912	0.0000000	-50.904	31.503	26.180	B5-03972-P02-CH1	5414056	OK	0.7914857	-0.2354126	0.5640313	0.0000000	-48.837	38.660	27.273	B5-03972-P03-CH0	5414056	OK	0.5895959	0.6079558	0.5317578	0.0000000	-47.085	44.358	25.868	B5-03972-P03-CH1	5414056	OK	0.5612368	0.3641118	0.7432603	0.0000000	-47.411	55.516	32.425	B5-03972-P04-CH0	5414056	OK	0.7007195	-0.5721540	0.4261830	0.0000000	-55.715	69.365	37.558	B5-03972-P04-CH1	5414056	OK	0.4531174	0.8895937	0.0575119	0.0000000	-41.248	66.647	21.952	 	B5-03143-P01-CH0	5414048	OK	0.7937195	-0.4867728	0.3647761	0.0000000	-53.600	87.258	36.655	B5-03143-P01-CH1	5414048	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414048	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH1	5414048	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414048	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414048	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414048	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.089925	B5-03972-P01-CH0	5414064	OK	0.3784750	0.1519444	-0.2488450	0.8784906	-12.535	15.954	-137.933	B5-03972-P02-CH0	5414064	OK	0.7033295	0.2144001	0.6777612	0.0000000	-51.251	31.874	26.381	B5-03972-P02-CH1	5414064	OK	0.7962726	-0.2248622	0.5615932	0.0000000	-49.167	38.664	27.204	B5-03972-P03-CH0	5414064	OK	0.5895423	0.5801231	0.5620472	0.0000000	-47.327	44.549	25.706	B5-03972-P03-CH1	5414064	OK	0.5907786	0.2120604	0.7784671	0.0000000	-50.492	59.420	33.955	B5-03972-P04-CH0	5414064	OK	0.7008688	-0.5723974	0.4256103	0.0000000	-55.773	69.318	37.587	B5-03972-P04-CH1	5414064	OK	0.4534346	0.8898516	0.0506085	0.0000000	-41.277	66.371	22.054	 	B5-03143-P01-CH0	5414056	OK	0.7965049	-0.4884434	0.3563749	0.0000000	-54.358	87.772	36.627	B5-03143-P01-CH1	5414056	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414056	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH1	5414056	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414056	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414056	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414056	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.099917	B5-03972-P01-CH0	5414072	OK	0.3784590	0.1519574	-0.2487566	0.8785203	-12.541	15.925	-137.962	B5-03972-P02-CH0	5414072	OK	0.7010838	0.2038086	0.6833327	0.0000000	-51.258	31.604	26.481	B5-03972-P02-CH1	5414072	OK	0.8049347	-0.1985167	0.5591702	0.0000000	-49.972	38.721	27.147	B5-03972-P03-CH0	5414072	OK	0.6120931	0.5219236	0.5940857	0.0000000	-42.221	42.204	25.981	B5-03972-P03-CH1	5414072	OK	0.6265510	0.1449432	0.7657841	0.0000000	-49.537	56.453	33.562	B5-03972-P04-CH0	5414072	OK	0.7009010	-0.5727986	0.4250172	0.0000000	-55.851	69.265	37.559	B5-03972-P04-CH1	5414072	OK	0.4545942	0.8895747	0.0447319	0.0000000	-41.705	66.488	21.931	 	B5-03143-P01-CH0	5414064	OK	0.7963885	-0.4882385	0.3569153	0.0000000	-54.391	87.691	36.761	B5-03143-P01-CH1	5414064	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	5414064	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH1	5414064	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH0	5414064	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P03-CH1	5414064	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P04-CH0	5414064	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
