Wav Time	B5-03972-P01-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P02-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P02-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P03-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P03-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P04-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03972-P04-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	 	B5-03143-P01-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P01-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P02-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P02-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P03-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P03-CH1	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	B5-03143-P04-CH0	Frame	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz
0.009992	B5-03972-P01-CH0	6609336	OK	0.3511900	-0.1737787	0.0966972	-0.9149405	-42.413	29.047	-138.547	B5-03972-P02-CH0	6609336	OK	0.7275224	0.4769793	0.4931550	0.0000000	-85.723	17.518	20.783	B5-03972-P02-CH1	6609336	OK	0.7060807	0.0877425	0.7026744	0.0000000	-82.300	21.282	25.574	B5-03972-P03-CH0	6609336	OK	0.6590610	0.0673385	0.7490688	0.0000000	-79.367	28.733	20.787	B5-03972-P03-CH1	6609336	OK	0.6328019	0.3868776	0.6707366	0.0000000	-80.756	41.071	23.324	B5-03972-P04-CH0	6609336	OK	0.6955198	-0.5987079	0.3972418	0.0000000	-60.586	67.620	30.709	B5-03972-P04-CH1	6609336	OK	0.4691175	0.8735828	0.1295446	0.0000000	-31.890	60.925	21.446	 	B5-03143-P01-CH0	6609328	OK	0.7059772	-0.4230771	0.5679805	0.0000000	-49.023	75.199	24.519	B5-03143-P01-CH1	6609328	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609328	OK	0.8261679	-0.4122206	-0.3840844	0.0000000	-32.989	75.859	28.199	B5-03143-P02-CH1	6609328	OK	0.7844145	-0.4324492	-0.4446139	0.0000000	-73.252	38.041	25.172	B5-03143-P03-CH0	6609328	OK	0.8209334	-0.4456410	-0.3570328	0.0000000	-37.582	62.341	46.399	B5-03143-P03-CH1	6609328	OK	0.8056870	-0.4309008	-0.4064394	0.0000000	-45.935	73.189	8.509	B5-03143-P04-CH0	6609328	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.019984	B5-03972-P01-CH0	6609344	OK	0.3512902	-0.1737088	0.0967364	-0.9149112	-42.360	28.983	-138.584	B5-03972-P02-CH0	6609344	OK	0.7276400	0.4768965	0.4930616	0.0000000	-85.698	17.474	20.744	B5-03972-P02-CH1	6609344	OK	0.7059962	0.0880739	0.7027179	0.0000000	-82.323	21.295	25.601	B5-03972-P03-CH0	6609344	OK	0.6591158	0.0676522	0.7489923	0.0000000	-79.360	28.714	20.788	B5-03972-P03-CH1	6609344	OK	0.6325957	0.3864784	0.6711610	0.0000000	-80.839	41.156	23.355	B5-03972-P04-CH0	6609344	OK	0.6955571	-0.5986780	0.3972215	0.0000000	-60.586	67.604	30.703	B5-03972-P04-CH1	6609344	OK	0.4690944	0.8735736	0.1296906	0.0000000	-31.863	60.897	21.462	 	B5-03143-P01-CH0	6609336	OK	0.7060474	-0.4230715	0.5678976	0.0000000	-48.996	75.160	24.533	B5-03143-P01-CH1	6609336	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609336	OK	0.8261447	-0.4122416	-0.3841117	0.0000000	-32.976	75.820	28.211	B5-03143-P02-CH1	6609336	OK	0.7844083	-0.4324789	-0.4445961	0.0000000	-73.238	38.024	25.163	B5-03143-P03-CH0	6609336	OK	0.8208131	-0.4460580	-0.3567886	0.0000000	-37.581	62.052	46.400	B5-03143-P03-CH1	6609336	OK	0.8056258	-0.4309680	-0.4064894	0.0000000	-45.899	73.157	8.494	B5-03143-P04-CH0	6609336	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.029976	B5-03972-P01-CH0	6609352	OK	0.3513899	-0.1735357	0.0969083	-0.9148876	-42.311	28.941	-138.596	B5-03972-P02-CH0	6609352	OK	0.7276639	0.4765431	0.4933679	0.0000000	-85.659	17.377	20.837	B5-03972-P02-CH1	6609352	OK	0.7060174	0.0882559	0.7026737	0.0000000	-82.299	21.271	25.590	B5-03972-P03-CH0	6609352	OK	0.6592642	0.0678909	0.7488401	0.0000000	-79.355	28.721	20.741	B5-03972-P03-CH1	6609352	OK	0.6330645	0.3853077	0.6713921	0.0000000	-80.696	41.045	23.412	B5-03972-P04-CH0	6609352	OK	0.6957050	-0.5985047	0.3972238	0.0000000	-60.571	67.609	30.677	B5-03972-P04-CH1	6609352	OK	0.4690571	0.8735447	0.1300194	0.0000000	-31.838	60.902	21.421	 	B5-03143-P01-CH0	6609344	OK	0.7062230	-0.4229053	0.5678029	0.0000000	-48.960	75.145	24.524	B5-03143-P01-CH1	6609344	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609344	OK	0.8261166	-0.4122519	-0.3841611	0.0000000	-32.954	75.831	28.195	B5-03143-P02-CH1	6609344	OK	0.7843483	-0.4325406	-0.4446418	0.0000000	-73.217	38.023	25.126	B5-03143-P03-CH0	6609344	OK	0.8207986	-0.4460575	-0.3568227	0.0000000	-37.576	62.048	46.384	B5-03143-P03-CH1	6609344	OK	0.8055700	-0.4309951	-0.4065712	0.0000000	-45.869	73.158	8.482	B5-03143-P04-CH0	6609344	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.039969	B5-03972-P01-CH0	6609360	OK	0.3515247	-0.1736100	0.0967835	-0.9148349	-42.330	28.865	-138.645	B5-03972-P02-CH0	6609360	OK	0.7275033	0.4773657	0.4928092	0.0000000	-85.732	17.225	20.867	B5-03972-P02-CH1	6609360	OK	0.7056845	0.0878956	0.7030532	0.0000000	-82.391	21.227	25.689	B5-03972-P03-CH0	6609360	OK	0.6591638	0.0681162	0.7489081	0.0000000	-79.398	28.749	20.790	B5-03972-P03-CH1	6609360	OK	0.6332721	0.3846876	0.6715518	0.0000000	-80.648	40.952	23.545	B5-03972-P04-CH0	6609360	OK	0.6955770	-0.5986141	0.3972831	0.0000000	-60.612	67.614	30.723	B5-03972-P04-CH1	6609360	OK	0.4691055	0.8735317	0.1299319	0.0000000	-31.872	60.919	21.456	 	B5-03143-P01-CH0	6609352	OK	0.7061000	-0.4229572	0.5679173	0.0000000	-48.989	75.157	24.581	B5-03143-P01-CH1	6609352	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609352	OK	0.8261279	-0.4123038	-0.3840810	0.0000000	-32.972	75.837	28.233	B5-03143-P02-CH1	6609352	OK	0.7843751	-0.4325727	-0.4445633	0.0000000	-73.237	38.021	25.204	B5-03143-P03-CH0	6609352	OK	0.8208481	-0.4460702	-0.3566928	0.0000000	-37.612	62.076	46.417	B5-03143-P03-CH1	6609352	OK	0.8056074	-0.4310193	-0.4064714	0.0000000	-45.909	73.158	8.554	B5-03143-P04-CH0	6609352	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.049961	B5-03972-P01-CH0	6609368	OK	0.3516192	-0.1736064	0.0966984	-0.9148083	-42.317	28.808	-138.663	B5-03972-P02-CH0	6609368	OK	0.7275831	0.4772502	0.4928033	0.0000000	-85.730	17.229	20.896	B5-03972-P02-CH1	6609368	OK	0.7055686	0.0889471	0.7030373	0.0000000	-82.433	21.102	25.683	B5-03972-P03-CH0	6609368	OK	0.6591053	0.0681321	0.7489580	0.0000000	-79.415	28.754	20.807	B5-03972-P03-CH1	6609368	OK	0.6329971	0.3849011	0.6716888	0.0000000	-80.767	41.079	23.432	B5-03972-P04-CH0	6609368	OK	0.6955277	-0.5986643	0.3972936	0.0000000	-60.641	67.637	30.700	B5-03972-P04-CH1	6609368	OK	0.4691902	0.8734852	0.1299391	0.0000000	-31.898	60.930	21.439	 	B5-03143-P01-CH0	6609360	OK	0.7060025	-0.4230709	0.5679538	0.0000000	-49.025	75.163	24.548	B5-03143-P01-CH1	6609360	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609360	OK	0.8261200	-0.4123095	-0.3840920	0.0000000	-32.981	75.837	28.236	B5-03143-P02-CH1	6609360	OK	0.7843881	-0.4325876	-0.4445259	0.0000000	-73.256	38.030	25.206	B5-03143-P03-CH0	6609360	OK	0.8208410	-0.4460844	-0.3566915	0.0000000	-37.629	62.094	46.399	B5-03143-P03-CH1	6609360	OK	0.8056128	-0.4310224	-0.4064575	0.0000000	-45.917	73.171	8.559	B5-03143-P04-CH0	6609360	Processing Error	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.059953	B5-03972-P01-CH0	6609376	OK	0.3517004	-0.1736121	0.0965968	-0.9147867	-42.316	28.771	-138.670	B5-03972-P02-CH0	6609376	OK	0.7276470	0.4772334	0.4927252	0.0000000	-85.711	17.272	20.910	B5-03972-P02-CH1	6609376	OK	0.7056555	0.0887232	0.7029783	0.0000000	-82.434	21.133	25.680	B5-03972-P03-CH0	6609376	OK	0.6590497	0.0679435	0.7490242	0.0000000	-79.433	28.774	20.804	B5-03972-P03-CH1	6609376	OK	0.6330586	0.3846306	0.6717857	0.0000000	-80.767	41.120	23.392	B5-03972-P04-CH0	6609376	OK	0.6954258	-0.5988066	0.3972577	0.0000000	-60.675	67.667	30.686	B5-03972-P04-CH1	6609376	OK	0.4692548	0.8734551	0.1299084	0.0000000	-31.910	60.961	21.429	 	B5-03143-P01-CH0	6609368	OK	0.7059118	-0.4231914	0.5679768	0.0000000	-49.043	75.187	24.514	B5-03143-P01-CH1	6609368	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609368	OK	0.8261127	-0.4123394	-0.3840755	0.0000000	-32.989	75.872	28.206	B5-03143-P02-CH1	6609368	OK	0.7843868	-0.4325894	-0.4445264	0.0000000	-73.259	38.057	25.193	B5-03143-P03-CH0	6609368	OK	0.8208464	-0.4460910	-0.3566706	0.0000000	-37.641	62.132	46.383	B5-03143-P03-CH1	6609368	OK	0.8056323	-0.4310238	-0.4064174	0.0000000	-45.916	73.215	8.547	B5-03143-P04-CH0	6609368	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.069945	B5-03972-P01-CH0	6609384	OK	0.3518341	-0.1736583	0.0971381	-0.9146692	-42.293	28.767	-138.672	B5-03972-P02-CH0	6609384	OK	0.7274617	0.4775011	0.4927394	0.0000000	-85.693	17.308	20.895	B5-03972-P02-CH1	6609384	OK	0.7057901	0.0889333	0.7028166	0.0000000	-82.398	21.182	25.648	B5-03972-P03-CH0	6609384	OK	0.6591495	0.0666401	0.7490535	0.0000000	-79.340	28.969	20.703	B5-03972-P03-CH1	6609384	OK	0.6330339	0.3834452	0.6724863	0.0000000	-80.721	41.104	23.403	B5-03972-P04-CH0	6609384	OK	0.6957409	-0.5984657	0.3972196	0.0000000	-60.661	67.698	30.713	B5-03972-P04-CH1	6609384	OK	0.4688322	0.8736713	0.1299800	0.0000000	-31.863	60.991	21.455	 	B5-03143-P01-CH0	6609376	OK	0.7062370	-0.4227787	0.5678798	0.0000000	-48.971	75.218	24.585	B5-03143-P01-CH1	6609376	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609376	OK	0.8262693	-0.4121608	-0.3839302	0.0000000	-32.929	75.882	28.251	B5-03143-P02-CH1	6609376	OK	0.7845993	-0.4324684	-0.4442691	0.0000000	-73.230	38.101	25.195	B5-03143-P03-CH0	6609376	OK	0.8210515	-0.4458799	-0.3564625	0.0000000	-37.603	62.132	46.423	B5-03143-P03-CH1	6609376	OK	0.8058345	-0.4308626	-0.4061874	0.0000000	-45.883	73.269	8.596	B5-03143-P04-CH0	6609376	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.079937	B5-03972-P01-CH0	6609392	OK	0.3518222	-0.1733523	0.0968397	-0.9147635	-42.220	28.736	-138.677	B5-03972-P02-CH0	6609392	OK	0.7277140	0.4771361	0.4927205	0.0000000	-85.674	17.291	20.811	B5-03972-P02-CH1	6609392	OK	0.7060048	0.0886257	0.7026399	0.0000000	-82.376	21.160	25.559	B5-03972-P03-CH0	6609392	OK	0.6594476	0.0671670	0.7487439	0.0000000	-79.247	28.937	20.649	B5-03972-P03-CH1	6609392	OK	0.6331024	0.3817208	0.6734022	0.0000000	-80.860	41.138	23.261	B5-03972-P04-CH0	6609392	OK	0.6955865	-0.5987205	0.3971059	0.0000000	-60.670	67.694	30.590	B5-03972-P04-CH1	6609392	OK	0.4691741	0.8734256	0.1303970	0.0000000	-31.842	60.981	21.360	 	B5-03143-P01-CH0	6609384	OK	0.7061715	-0.4230212	0.5677806	0.0000000	-48.969	75.208	24.455	B5-03143-P01-CH1	6609384	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609384	OK	0.8260607	-0.4123135	-0.3842152	0.0000000	-32.921	75.881	28.144	B5-03143-P02-CH1	6609384	OK	0.7843480	-0.4326232	-0.4445620	0.0000000	-73.183	38.084	25.114	B5-03143-P03-CH0	6609384	OK	0.8208226	-0.4460418	-0.3567870	0.0000000	-37.590	62.135	46.323	B5-03143-P03-CH1	6609384	OK	0.8056306	-0.4310104	-0.4064349	0.0000000	-45.876	73.249	8.499	B5-03143-P04-CH0	6609384	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.089929	B5-03972-P01-CH0	6609400	OK	0.3519648	-0.1735896	0.0967694	-0.9146710	-42.285	28.685	-138.694	B5-03972-P02-CH0	6609400	OK	0.7275828	0.4773428	0.4927141	0.0000000	-85.707	17.355	20.888	B5-03972-P02-CH1	6609400	OK	0.7058791	0.0887991	0.7027442	0.0000000	-82.412	21.224	25.639	B5-03972-P03-CH0	6609400	OK	0.6591078	0.0678511	0.7489814	0.0000000	-79.404	28.875	20.773	B5-03972-P03-CH1	6609400	OK	0.6334489	0.3803243	0.6738664	0.0000000	-80.835	41.017	23.305	B5-03972-P04-CH0	6609400	OK	0.6954685	-0.5988165	0.3971679	0.0000000	-60.722	67.743	30.648	B5-03972-P04-CH1	6609400	OK	0.4691324	0.8735111	0.1299737	0.0000000	-31.894	61.035	21.390	 	B5-03143-P01-CH0	6609392	OK	0.7060103	-0.4230637	0.5679494	0.0000000	-49.011	75.255	24.509	B5-03143-P01-CH1	6609392	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609392	OK	0.8261729	-0.4123004	-0.3839878	0.0000000	-32.958	75.918	28.191	B5-03143-P02-CH1	6609392	OK	0.7844965	-0.4325490	-0.4443722	0.0000000	-73.225	38.119	25.203	B5-03143-P03-CH0	6609392	OK	0.8209473	-0.4459844	-0.3565718	0.0000000	-37.628	62.182	46.372	B5-03143-P03-CH1	6609392	OK	0.8057386	-0.4310125	-0.4062185	0.0000000	-45.926	73.293	8.522	B5-03143-P04-CH0	6609392	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
0.099921	B5-03972-P01-CH0	6609408	OK	0.3519915	-0.1735029	0.0963963	-0.9147166	-42.284	28.619	-138.737	B5-03972-P02-CH0	6609408	OK	0.7277341	0.4771172	0.4927091	0.0000000	-85.728	17.339	20.908	B5-03972-P02-CH1	6609408	OK	0.7058796	0.0886714	0.7027598	0.0000000	-82.443	21.209	25.650	B5-03972-P03-CH0	6609408	OK	0.6590842	0.0675877	0.7490260	0.0000000	-79.431	28.855	20.786	B5-03972-P03-CH1	6609408	OK	0.6336421	0.3799197	0.6739130	0.0000000	-80.796	41.053	23.404	B5-03972-P04-CH0	6609408	OK	0.6952214	-0.5990964	0.3971784	0.0000000	-60.759	67.742	30.617	B5-03972-P04-CH1	6609408	OK	0.4694461	0.8733250	0.1300914	0.0000000	-31.925	61.025	21.364	 	B5-03143-P01-CH0	6609400	OK	0.7058134	-0.4233613	0.5679724	0.0000000	-49.055	75.240	24.474	B5-03143-P01-CH1	6609400	Signal too small	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	B5-03143-P02-CH0	6609400	OK	0.8260593	-0.4124197	-0.3841041	0.0000000	-32.991	75.918	28.161	B5-03143-P02-CH1	6609400	OK	0.7844031	-0.4325383	-0.4445475	0.0000000	-73.280	38.102	25.187	B5-03143-P03-CH0	6609400	OK	0.8208009	-0.4461219	-0.3567368	0.0000000	-37.654	62.179	46.352	B5-03143-P03-CH1	6609400	OK	0.8056344	-0.4310891	-0.4063439	0.0000000	-45.986	73.275	8.500	B5-03143-P04-CH0	6609400	Bad Fit	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28
